Index,Key,Date
1,TAJO-33,2013-04-19T00:00
2,TAJO-19,2013-07-22T00:00
3,TAJO-123,2013-08-19T00:00
4,TAJO-136,2013-08-28T00:00
5,TAJO-134,2013-09-02T00:00
6,TAJO-134,2013-09-02T00:00
7,TAJO-139,2013-09-03T00:00
8,TAJO-139,2013-09-03T00:00
9,TAJO-144,2013-09-04T00:00
10,TAJO-101,2013-09-09T00:00
11,TAJO-185,2013-09-23T00:00
12,TAJO-185,2013-09-23T00:00
13,TAJO-213,2013-09-27T00:00
14,TAJO-211,2013-09-30T00:00
15,TAJO-220,2013-10-04T00:00
16,TAJO-179,2013-10-07T00:00
17,TAJO-24,2013-10-11T00:00
18,TAJO-260,2013-10-17T00:00
19,TAJO-176,2013-11-18T00:00
20,TAJO-200,2013-11-21T00:00
21,TAJO-341,2013-11-30T00:00
22,TAJO-350,2013-12-01T00:00
23,TAJO-342,2013-12-02T00:00
24,TAJO-358,2013-12-03T00:00
25,TAJO-306,2013-12-04T00:00
26,TAJO-34,2013-12-05T00:00
27,TAJO-34,2013-12-05T00:00
28,TAJO-34,2013-12-05T00:00
29,TAJO-343,2013-12-07T00:00
30,TAJO-368,2013-12-08T00:00
31,TAJO-333,2013-12-14T00:00
32,TAJO-382,2013-12-21T00:00
33,TAJO-474,2014-01-08T00:00
34,TAJO-122,2014-01-14T00:00
35,TAJO-449,2014-01-23T00:00
36,TAJO-574,2014-02-01T00:00
37,TAJO-206,2014-02-08T00:00
38,TAJO-353,2014-03-25T00:00
39,TAJO-30,2014-03-27T00:00
40,TAJO-377,2014-03-28T00:00
41,TAJO-377,2014-03-28T00:00
42,TAJO-480,2014-03-31T00:00
43,TAJO-711,2014-04-16T00:00
44,TAJO-494,2014-05-12T00:00
45,TAJO-494,2014-05-12T00:00
46,TAJO-849,2014-06-02T00:00
47,TAJO-860,2014-06-06T00:00
48,TAJO-847,2014-06-18T00:00
49,TAJO-20,2014-07-15T00:00
50,TAJO-212,2014-08-12T00:00
51,TAJO-704,2014-08-19T00:00
52,TAJO-1105,2014-10-09T00:00
53,TAJO-233,2014-10-17T00:00
54,TAJO-235,2014-10-20T00:00
55,TAJO-1095,2014-11-28T00:00
56,TAJO-1222,2014-12-03T00:00
57,TAJO-1026,2014-12-06T00:00
58,TAJO-1118,2014-12-12T00:00
59,TAJO-1238,2014-12-17T00:00
60,TAJO-446,2014-12-18T00:00
61,TAJO-446,2014-12-18T00:00
62,TAJO-1135,2015-03-06T00:00
63,TAJO-1448,2015-03-27T00:00
64,TAJO-1421,2015-04-05T00:00
65,TAJO-1494,2015-04-07T00:00
66,TAJO-1430,2015-04-13T00:00
67,TAJO-1344,2015-04-29T00:00
68,TAJO-1344,2015-04-29T00:00
69,TAJO-1537,2015-05-19T00:00
70,TAJO-1661,2015-06-25T00:00
71,TAJO-1486,2015-07-22T00:00
72,TAJO-1812,2015-09-03T00:00
73,TAJO-29,2015-09-17T00:00
74,TAJO-29,2015-09-17T00:00
75,TAJO-1832,2015-09-23T00:00
76,TAJO-283,2015-10-15T00:00
77,TAJO-283,2015-10-15T00:00
78,TAJO-1955,2015-11-03T00:00
79,TAJO-2122,2016-04-27T00:00
80,TAJO-1686,2016-05-11T00:00
81,TAJO-2148,2016-06-28T00:00
82,TAJO-2160,2016-07-06T00:00
83,TAJO-2165,2016-07-11T00:00
84,TAJO-2109,2016-08-22T00:00
85,TAJO-2179,2016-08-29T00:00
